Name,Nationality,Rank,Sport,Year,Earnings (Millions of US$)
Shaquille O'Neal,USA,4,Basketball,2003,30.5
Oscar De La Hoya,USA,5,Boxing,2003,30.0
Kevin Garnett,USA,6,Basketball,2003,28.0
Alex Rodriguez,USA,7,Baseball,2003,26.0
Grant Hill,USA,8,Basketball,2003,25.5
Andre Agassi,USA,9,Tennis,2003,24.0
Jacques Villeneuve,Canada,10,Auto Racing,2003,23.0
Tiger Woods,USA,1,Golf,2004,80.3
Michael Schumacher,Germany,2,Auto Racing,2004,80.0
Peyton Manning,USA,3,American Football,2004,42.0
Michael Jordan,USA,4,Basketball,2004,35.0
Shaquille O'Neal,USA,5,Basketball,2004,31.9
Kevin Garnett,USA,6,Basketball,2004,29.7
Andre Agassi,USA,7,Tennis,2004,28.2
David Beckham,UK,8,Soccer,2004,28.0
Alex Rodriguez,USA,9,Baseball,2004,26.2
Kobe Bryant,USA,10,Basketball,2004,26.1
Tiger Woods,USA,1,Golf,2005,87.0
Michael Schumacher,Germany,2,Auto Racing,2005,60.0
Oscar De La Hoya,USA,3,Boxing,2005,38.0
Michael Vick,USA,4,American Football,2005,37.5
Shaquille O'Neal,USA,5,Basketball,2005,33.4
Michael Jordan,USA,6,Basketball,2005,33.0
David Beckham,UK,7,Soccer,2005,32.5
Kobe Bryant,USA,8,Basketball,2005,28.8
Lance Armstrong,USA,9,Cycling,2005,28.0
Valentino Rossi,Italy,9,Motorcycling,2005,28.0
Tiger Woods,USA,1,Golf,2006,90.0
Michael Schumacher,Germany,2,Auto Racing,2006,58.0
Muhammad Ali,USA,3,Boxing,2006,55.0
Phil Mickelson,USA,4,Golf,2006,47.0
Michael Jordan,USA,5,Basketball,2006,32.0
Kobe Bryant,USA,6,Basketball,2006,31.0
Shaquille O'Neal,USA,7,Basketball,2006,30.0
Valentino Rossi,Italy,8,Motorcycling,2006,30.0
Alex Rodriguez,USA,9,Baseball,2006,29.0
Tom Brady,USA,9,American Football,2006,29.0
Tiger Woods,USA,1,Golf,2007,100.0
Oscar De La Hoya,USA,2,Boxing,2007,43.0
Phil Mickelson,USA,3,Golf,2007,42.0
Kimi Raikkonen,Finland,4,Auto Racing,2007,40.0
Michael Schumacher,Germany,5,Auto Racing,2007,36.0
David Beckham,UK,6,Soccer,2007,33.0
Kobe Bryant,USA,6,Basketball,2007,33.0
Shaquille O'Neal,USA,8,Basketball,2007,32.0
Ronaldinho,Brazil,9,Soccer,2007,31.0
Michael Jordan,USA,9,Basketball,2007,31.0
Tiger Woods,USA,1,Golf,2008,115.0
David Beckham,UK,2,Soccer,2008,50.0
Michael Jordan,USA,3,Basketball,2008,45.0
Phil Mickelson,USA,3,Golf,2008,45.0
Kimi Raikkonen,Finland,5,Auto Racing,2008,44.0
Kobe Bryant,USA,6,Basketball,2008,39.0
LeBron James,USA,7,Basketball,2008,38.0
Ronaldinho,Brazil,8,Soccer,2008,37.0
Valentino Rossi,Italy,9,Motorcycling,2008,35.0
Roger Federer,Switzerland,9,Tennis,2008,35.0
Tiger Woods,USA,1,Golf,2009,110.0
Kobe Bryant,USA,2,Basketball,2009,45.0
Michael Jordan,USA,2,Basketball,2009,45.0
Kimi Raikkonen,Finland,2,Auto Racing,2009,45.0
David Beckham,UK,5,Soccer,2009,42.0
LeBron James,USA,6,Basketball,2009,40.0
Phil Mickelson,USA,6,Golf,2009,40.0
Manny Pacquiao,Philippines,6,Boxing,2009,40.0
Valentino Rossi,Italy,9,Motorcycling,2009,35.0
Dale Earnhardt Jr.,USA,10,Auto Racing,2009,34.0
Tiger Woods,USA,1,Golf,2010,105.0
Floyd Mayweather,USA,2,Boxing,2010,65.0
Kobe Bryant,USA,3,Basketball,2010,48.0
Phil Mickelson,USA,4,Golf,2010,46.0
David Beckham,UK,5,Soccer,2010,43.7
Roger Federer,Switzerland,6,Tennis,2010,43.0
LeBron James,USA,7,Basketball,2010,42.8
Manny Pacquiao,Philippines,8,Boxing,2010,42.0
Eli Manning,USA,9,American Football,2010,39.9
Terrell Suggs,USA,10,American Football,2010,38.3
Tiger Woods,USA,1,Golf,2011,75.0
Kobe Bryant,USA,2,Basketball,2011,53.0
LeBron James,USA,3,Basketball,2011,48.0
Roger Federer,Switzerland,4,Tennis,2011,47.0
Phil Mickelson,USA,5,Golf,2011,46.5
David Beckham,UK,6,Soccer,2011,40.0
Cristiano Ronaldo,Portugal,7,Soccer,2011,38.0
Alex Rodriguez,Dominican,8,Baseball,2011,35.0
Michael Schumacher,Germany,9,Auto Racing,2011,34.0
Lionel Messi,Argentina,10,Soccer,2011,32.3
Floyd Mayweather,USA,1,Boxing,2012,85.0
Manny Pacquiao,Filipino,2,Boxing,2012,62.0
Tiger Woods,USA,3,Golf,2012,59.4
LeBron James,USA,4,Basketball,2012,53.0
Roger Federer,Switzerland,5,Tennis,2012,52.7
Kobe Bryant,USA,6,Basketball,2012,52.3
Phil Mickelson,USA,7,Golf,2012,47.8
David Beckham,UK,8,Soccer,2012,46.0
Cristiano Ronaldo,Portugal,9,Soccer,2012,42.5
Peyton Manning,USA,10,American Football,2012,42.4
Tiger Woods,USA,1,Golf,2013,78.1
Roger Federer,Switzerland,2,Tennis,2013,71.5
Kobe Bryant,USA,3,Basketball,2013,61.9
LeBron James,USA,4,Basketball,2013,59.8
Drew Brees,USA,5,American Football,2013,51.0
Aaron Rodgers,USA,6,American Football,2013,49.0
Phil Mickelson,USA,7,Golf,2013,48.7
David Beckham,UK,8,Soccer,2013,47.2
Cristiano Ronaldo,Portugal,9,Soccer,2013,44.0
Lionel Messi,Argentina,10,Soccer,2013,41.3
Floyd Mayweather,USA,1,Boxing,2014,105.0
Cristiano Ronaldo,Portugal,2,Soccer,2014,80.0
LeBron James,USA,3,Basketball,2014,72.3
Lionel Messi,Argentina,4,Soccer,2014,64.7
Kobe Bryant,USA,5,Basketball,2014,61.5
Tiger Woods,USA,6,Golf,2014,61.2
Roger Federer,Switzerland,7,Tennis,2014,56.2
Phil Mickelson,USA,8,Golf,2014,53.2
Rafael Nadal,Spain,9,Tennis,2014,44.5
Matt Ryan,USA,10,American Football,2014,43.8
Floyd Mayweather,USA,1,Boxing,2015,300.0
Manny Pacquiao,Philippines,2,Boxing,2015,160.0
Cristiano Ronaldo,Portugal,3,Soccer,2015,79.6
Lionel Messi,Argentina,4,Soccer,2015,73.8
Roger Federer,Switzerland,5,Tennis,2015,67.0
LeBron James,USA,6,Basketball,2015,64.8
Kevin Durant,USA,7,Basketball,2015,54.2
Phil Mickelson,USA,8,Golf,2015,50.8
Tiger Woods,USA,9,Golf,2015,50.6
Kobe Bryant,USA,10,Basketball,2015,49.5
Cristiano Ronaldo,Portugal,1,Soccer,2016,88.0
Lionel Messi,Argentina,2,Soccer,2016,81.4
LeBron James,USA,3,Basketball,2016,77.2
Roger Federer,Switzerland,4,Tennis,2016,67.8
Kevin Durant,USA,5,Basketball,2016,56.2
Novak Djokovic,Serbia,6,Tennis,2016,55.8
Cam Newton,USA,7,American Football,2016,53.1
Phil Mickelson,USA,8,Golf,2016,52.9
Jordan Spieth,USA,9,Golf,2016,52.8
Kobe Bryant,USA,10,Basketball,2016,50.0
Cristiano Ronaldo,Portugal,1,Soccer,2017,93.0
LeBron James,USA,2,Basketball,2017,86.2
Lionel Messi,Argentina,3,Soccer,2017,80.0
Roger Federer,Switzerland,4,Tennis,2017,64.0
Kevin Durant,USA,5,Basketball,2017,60.6
Andrew Luck,USA,6,American Football,2017,50.0
Rory McIlroy,Northern Ireland,6,Golf,2017,50.0
Stephen Curry,USA,8,Basketball,2017,47.3
James Harden,USA,9,Basketball,2017,46.6
Lewis Hamilton,UK,10,Auto Racing,2017,46.0
Floyd Mayweather,USA,1,Boxing,2018,285.0
Lionel Messi,Argentina,2,Soccer,2018,111.0
Cristiano Ronaldo,Portugal,3,Soccer,2018,108.0
Conor McGregor,Ireland,4,MMA,2018,99.0
Neymar,Brazil,5,Soccer,2018,90.0
LeBron James,USA,6,Basketball,2018,85.5
Roger Federer,Switzerland,7,Tennis,2018,77.2
Stephen Curry,USA,8,Basketball,2018,76.9
Matt Ryan,USA,9,American Football,2018,67.3
Matthew Stafford,USA,10,American Football,2018,59.5
Lionel Messi,Argentina,1,Soccer,2019,127.0
Cristiano Ronaldo,Portugal,2,Soccer,2019,109.0
Neymar,Brazil,3,Soccer,2019,105.0
Canelo Alvarez,Mexico,4,Boxing,2019,94.0
Roger Federer,Switzerland,5,Tennis,2019,93.4
Russell Wilson,USA,6,American Football,2019,89.5
Aaron Rodgers,USA,7,American Football,2019,89.3
LeBron James,USA,8,Basketball,2019,89.0
Stephen Curry,USA,9,Basketball,2019,79.8
Kevin Durant,USA,10,Basketball,2019,65.4
